,mean_words,median,model_label_new,model_label_old
0,6.0,1.0,A11,A1
1,7.181818181818182,3.0,A11,A4
2,8.466666666666667,4.0,A11,A17
3,16.0,16.0,A11,A16
4,24.0,24.0,A16,A12
5,22.88888888888889,12.0,A16,A1
6,11.4,10.0,A16,A9
7,6.111111111111111,3.0,A16,A14
8,23.9,18.5,A16,A8
9,22.88888888888889,5.0,A14,A1
10,2.142857142857143,1.0,A14,A16
11,1.5,1.5,A14,A12
12,14.071428571428571,7.0,A1,A8
13,7.375,3.5,A1,A14
14,8.75,6.0,A1,A4
15,10.0,3.0,A1,A9
16,16.0,16.0,A1,A7
17,4.0,1.0,A1,A16
18,4.4,3.0,A17,A11
19,11.421052631578947,4.0,A17,A12
20,10.4,7.0,A17,A1
21,14.0,14.0,A7,A1
22,20.0,12.0,A7,A12
23,18.6,5.0,A8,A12
24,25.428571428571427,18.0,A8,A1
25,8.0,8.0,A8,A14
26,9.0,9.0,A4,A7
27,11.444444444444445,3.0,A4,A1
28,8.8,3.0,A4,A16
29,5.333333333333333,3.0,A9,A7
30,2.0,2.0,A12,A4
31,9.6,1.0,A12,A17
32,11.0,11.0,A12,A14
33,6.0,6.0,A7,A17
34,21.4,10.0,A16,A17
35,7.5,6.0,A1,A11
36,44.25,41.0,A1,A12
37,3.8,3.0,A1,A17
38,28.0,28.0,A11,A14
39,5.0,3.0,A14,A8
40,5.0,5.0,A14,A17
41,5.0,5.0,A17,A7
42,46.0,46.0,A17,A4
43,5.6,5.0,A17,A8
44,13.076923076923077,12.0,A4,A11
45,1.0,1.0,A12,A1
46,6.0,6.0,A12,A11
47,4.5,4.5,A9,A14
48,1.75,1.5,A9,A16
49,12.5,12.5,A16,A7
50,19.25,9.5,A11,A8
51,22.5,22.5,A4,A17
52,15.0,15.0,A4,A8
53,7.75,6.5,A8,A16
54,20.0,20.0,A8,A17
55,13.0,13.0,A12,A7
56,3.5,3.5,A12,A8
57,14.0,14.0,A14,A9
58,33.0,33.0,A17,A14
59,1.0,1.0,A17,A16
60,26.0,26.0,A11,A12
61,13.0,13.0,A11,A9
62,8.0,8.0,A11,A7
63,26.0,26.0,A7,A14
64,18.0,18.0,A9,A8
65,32.0,32.0,A9,A1
66,1.0,1.0,A9,A12
67,4.5,4.5,A12,A16
