,mean_words,median,model_label_new,model_label_old
0,9.142857142857142,6.0,A12,A7
1,48.5,45.5,A12,A22
2,6.285714285714286,2.0,A12,A8
3,13.75,11.0,A12,A17
4,15.875,9.0,A12,A1
5,14.5,14.5,A4,A8
6,19.0,5.5,A11,A1
7,4.0,4.0,A11,A7
8,31.0,13.5,A7,A1
9,19.272727272727273,8.0,A7,A12
10,2.0,2.0,A7,A17
11,56.0,56.0,A7,A8
12,1.5,1.5,A7,A16
13,45.0,45.0,A14,A12
14,24.5,24.5,A14,A8
15,33.25,21.0,A14,A1
16,2.0,2.0,A14,A17
17,6.0,6.0,A14,A7
18,14.0,14.0,A22,A7
19,35.333333333333336,39.0,A22,A1
20,4.5,4.5,A22,A8
21,6.8,8.0,A22,A12
22,56.5,56.5,A22,A17
23,43.0,43.0,A22,A16
24,14.625,4.0,A8,A1
25,29.25,22.5,A8,A12
26,11.833333333333334,6.0,A16,A12
27,16.0,6.0,A16,A1
28,29.333333333333332,15.5,A16,A8
29,7.0,7.0,A16,A7
30,20.5,19.5,A16,A17
31,16.75,10.5,A1,A7
32,38.5,34.5,A1,A17
33,21.476190476190474,8.0,A1,A8
34,26.57894736842105,23.0,A1,A12
35,18.666666666666668,12.5,A1,A16
36,18.8,19.0,A1,A11
37,6.5,6.5,A1,A9
38,1.0,1.0,A9,A7
39,80.0,80.0,A9,A12
40,14.6,19.0,A17,A12
41,22.25,13.5,A8,A16
42,58.0,58.0,A8,A7
43,12.0,12.0,A8,A4
44,3.0,3.0,A7,A22
45,6.0,6.0,A7,A9
46,31.0,31.0,A17,A8
47,14.0,14.0,A17,A1
48,27.0,27.0,A16,A14
49,58.0,58.0,A16,A4
50,29.5,29.5,A16,A9
51,8.0,8.0,A16,A11
52,1.0,1.0,A16,A22
53,6.5,6.5,A11,A17
54,64.5,64.5,A11,A12
55,41.5,41.5,A9,A8
56,28.0,28.0,A12,A11
57,28.75,14.0,A12,A16
58,32.0,32.0,A11,A4
59,29.0,29.0,A1,A4
60,1.0,1.0,A1,A22
61,6.5,6.5,A17,A22
62,3.5,3.5,A17,A16
63,1.0,1.0,A4,A17
64,3.0,3.0,A4,A16
65,1.0,1.0,A8,A9
66,1.0,1.0,A14,A16
67,9.0,9.0,A9,A1
